epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.3162,1.17663,5.75063,0.00604,0.17203,0.11236,0.06415,0.04781,0.79862,5.1038,0.00383,0.00014,0.00014,0.00014
2,78.3849,1.15683,4.29612,0.00619,0.3361,0.49438,0.38543,0.28158,0.84604,3.52117,0.00494,0.00029406,0.00029406,0.00029406
3,88.0636,1.17152,2.96478,0.00769,0.61351,0.58427,0.59387,0.43108,0.99097,2.09951,0.0062,0.000441784,0.000441784,0.000441784
4,99.2095,1.19516,2.08389,0.0082,0.65843,0.61798,0.64111,0.47417,0.92354,1.62071,0.00619,0.000583172,0.000583172,0.000583172
5,108.843,1.27035,1.67384,0.00869,0.56315,0.48315,0.56656,0.37937,1.1481,1.81543,0.00874,0.000718224,0.000718224,0.000718224
6,118.317,1.3735,1.66203,0.00821,0.56197,0.59551,0.58884,0.3706,1.25563,1.6215,0.0096,0.00084694,0.00084694,0.00084694
7,127.386,1.34327,1.53974,0.00824,0.69992,0.55037,0.59233,0.40322,1.15647,1.5961,0.00757,0.00096932,0.00096932,0.00096932
8,134.822,1.27884,1.45696,0.00794,0.69406,0.64045,0.59858,0.34946,1.21924,1.32592,0.00936,0.00108536,0.00108536,0.00108536
9,143.321,1.32146,1.38094,0.00876,0.63929,0.51685,0.55097,0.34497,1.2537,1.53979,0.0085,0.00119507,0.00119507,0.00119507
10,150.872,1.26956,1.36752,0.00756,0.52133,0.65169,0.59597,0.419,1.15506,1.26906,0.00853,0.00129844,0.00129844,0.00129844
11,159.227,1.34769,1.38903,0.00825,0.70001,0.55056,0.62903,0.43013,1.2302,1.45166,0.00907,0.00139548,0.00139548,0.00139548
12,166.43,1.29111,1.23589,0.00851,0.66655,0.53933,0.59686,0.39063,1.37506,1.59459,0.01062,0.00148618,0.00148618,0.00148618
13,174.977,1.43069,1.22742,0.00975,0.45512,0.60674,0.44347,0.26133,1.45505,1.89181,0.01057,0.0015248,0.0015248,0.0015248
14,182.749,1.38246,1.29283,0.00968,0.67076,0.58427,0.64565,0.41293,1.38638,1.35019,0.01022,0.0014852,0.0014852,0.0014852
15,192.417,1.38054,1.21515,0.00937,0.65509,0.68539,0.65678,0.41959,1.22266,1.3973,0.00941,0.0014456,0.0014456,0.0014456
16,202.268,1.36682,1.19071,0.0097,0.59425,0.70762,0.63608,0.40355,1.41011,1.31479,0.01013,0.001406,0.001406,0.001406
17,210.522,1.3485,1.13785,0.00895,0.57709,0.70787,0.62849,0.42766,1.19936,1.60836,0.00833,0.0013664,0.0013664,0.0013664
18,220.098,1.37168,1.12074,0.00793,0.5727,0.67769,0.62836,0.42193,1.21504,1.28028,0.00942,0.0013268,0.0013268,0.0013268
19,228.554,1.27436,0.94901,0.00776,0.71199,0.73034,0.71615,0.49699,1.34303,1.16429,0.01022,0.0012872,0.0012872,0.0012872
20,238.192,1.36675,1.11009,0.00851,0.79569,0.60674,0.6997,0.44896,1.40853,1.31294,0.01085,0.0012476,0.0012476,0.0012476
21,247.665,1.22194,0.94813,0.00776,0.65942,0.71791,0.67192,0.45427,1.35981,1.46146,0.00993,0.001208,0.001208,0.001208
22,255.727,1.2546,1.02935,0.008,0.72417,0.64902,0.68082,0.43351,1.32689,1.38221,0.01052,0.0011684,0.0011684,0.0011684
