epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,401.417,1.12374,0.79107,0.0067,0.77979,0.70787,0.75171,0.56543,1.12341,0.95853,0.0076,0.0011882,0.0011882,0.0011882
43,411.253,1.10797,0.75545,0.00758,0.66776,0.76786,0.75094,0.54011,1.29946,0.93559,0.00917,0.0011684,0.0011684,0.0011684
44,419.111,1.08984,0.69358,0.00702,0.66608,0.75281,0.72148,0.51311,1.23186,0.98562,0.00876,0.0011486,0.0011486,0.0011486
45,428.552,1.11856,0.73525,0.00684,0.7369,0.72383,0.72309,0.53239,1.15346,1.07465,0.00762,0.0011288,0.0011288,0.0011288
46,437.635,1.09958,0.68268,0.0073,0.79444,0.68539,0.72261,0.54253,1.22729,1.05739,0.00865,0.001109,0.001109,0.001109
47,445.982,1.06219,0.74064,0.00734,0.84467,0.69663,0.77366,0.57871,1.13058,0.86195,0.00763,0.0010892,0.0010892,0.0010892
48,455.752,1.00523,0.719,0.00718,0.81047,0.69663,0.77055,0.5813,1.1745,0.90861,0.00764,0.0010694,0.0010694,0.0010694
49,463.501,1.10368,0.84826,0.00666,0.75082,0.75281,0.76771,0.58922,1.07561,0.95834,0.00681,0.0010496,0.0010496,0.0010496
50,473.382,1.00506,0.71707,0.00587,0.6941,0.76486,0.75198,0.58315,1.10782,0.95462,0.00753,0.0010298,0.0010298,0.0010298
51,481.556,1.04767,0.67023,0.00591,0.74533,0.75637,0.77227,0.59467,1.08314,0.89213,0.00726,0.00101,0.00101,0.00101
52,490.986,1.05275,0.74065,0.00621,0.68526,0.75837,0.74494,0.57733,1.09456,0.96345,0.00687,0.0009902,0.0009902,0.0009902
53,500.317,1.07596,0.73295,0.00719,0.74272,0.78652,0.7919,0.59634,1.0683,0.88409,0.0077,0.0009704,0.0009704,0.0009704
54,508.54,1.07423,0.72067,0.00605,0.74212,0.77603,0.79292,0.59828,1.07887,0.90084,0.00723,0.0009506,0.0009506,0.0009506
55,518.11,1.05301,0.7665,0.00645,0.75643,0.70787,0.73836,0.58732,0.99916,1.06684,0.0062,0.0009308,0.0009308,0.0009308
56,525.844,0.98695,0.69256,0.00614,0.86484,0.67416,0.75914,0.6009,1.06911,0.88759,0.00655,0.000911,0.000911,0.000911
57,535.597,1.06425,0.75697,0.00644,0.80719,0.70787,0.75978,0.60144,1.09678,0.86802,0.00694,0.0008912,0.0008912,0.0008912
58,544.144,1.01928,0.81023,0.00614,0.77354,0.73034,0.75733,0.59158,1.09543,0.85174,0.00689,0.0008714,0.0008714,0.0008714
59,552.966,1.08075,0.75465,0.00649,0.70504,0.72519,0.76469,0.5946,1.10581,0.89012,0.00719,0.0008516,0.0008516,0.0008516
60,562.508,0.93776,0.61191,0.00558,0.77351,0.7191,0.7644,0.60102,1.11781,0.8988,0.00689,0.0008318,0.0008318,0.0008318
61,570.263,0.9262,0.6012,0.00591,0.78318,0.66292,0.75577,0.61262,1.06577,0.93139,0.00635,0.000812,0.000812,0.000812
62,579.799,0.96692,0.65121,0.00543,0.70434,0.82022,0.74731,0.58357,1.06042,0.86425,0.00657,0.0007922,0.0007922,0.0007922
63,587.879,0.94093,0.60706,0.00573,0.68783,0.79226,0.75961,0.58985,1.11034,0.88303,0.00673,0.0007724,0.0007724,0.0007724
64,597.466,0.97235,0.67804,0.00573,0.68229,0.78652,0.76678,0.6164,1.00791,0.96052,0.00612,0.0007526,0.0007526,0.0007526
65,606.26,1.01137,0.71725,0.00567,0.70524,0.76404,0.7515,0.5933,0.97542,1.02736,0.0059,0.0007328,0.0007328,0.0007328
66,615.51,0.97177,0.65972,0.00603,0.76027,0.74157,0.77994,0.62408,0.92874,0.88154,0.00534,0.000713,0.000713,0.000713
67,625.696,0.91228,0.61084,0.00598,0.85733,0.7191,0.79138,0.6333,0.9371,0.82813,0.00566,0.0006932,0.0006932,0.0006932
68,633.547,0.87349,0.59004,0.00544,0.81844,0.74157,0.78278,0.64353,0.9175,0.85196,0.00557,0.0006734,0.0006734,0.0006734
