epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1418.03,1.25224,0.97661,0.00871,0.78756,0.64045,0.72308,0.54202,0.97502,1.19919,0.00849,0.0011882,0.0011882,0.0011882
43,1451.56,1.22821,1.03771,0.00871,0.72479,0.59186,0.72791,0.53073,0.96778,1.32562,0.00839,0.0011684,0.0011684,0.0011684
44,1484.42,1.27613,1.04286,0.00823,0.79083,0.61798,0.72795,0.50531,1.088,1.25149,0.0107,0.0011486,0.0011486,0.0011486
45,1517.52,1.25275,1.05056,0.00832,0.62215,0.7191,0.70552,0.4934,1.0063,1.56602,0.00913,0.0011288,0.0011288,0.0011288
46,1549.92,1.21174,0.95964,0.00759,0.73995,0.7191,0.7893,0.59323,0.94633,1.03722,0.0081,0.001109,0.001109,0.001109
47,1583.28,1.20882,0.97109,0.00753,0.71395,0.74157,0.77964,0.58196,0.93964,1.1954,0.00765,0.0010892,0.0010892,0.0010892
48,1614.04,1.20272,0.94141,0.00793,0.67301,0.7191,0.76136,0.57104,0.91976,1.38549,0.0075,0.0010694,0.0010694,0.0010694
49,1645.88,1.25677,0.99944,0.00796,0.71861,0.77528,0.78718,0.58928,0.94039,0.93119,0.00806,0.0010496,0.0010496,0.0010496
50,1677.94,1.20955,1.00035,0.0088,0.77284,0.68812,0.77932,0.57164,0.89821,1.088,0.0084,0.0010298,0.0010298,0.0010298
51,1711.16,1.19867,0.98291,0.00761,0.71227,0.75281,0.7614,0.58514,0.88501,1.11305,0.0078,0.00101,0.00101,0.00101
52,1743.27,1.16167,0.93689,0.00787,0.75324,0.78652,0.80241,0.61342,0.95042,0.93623,0.00848,0.0009902,0.0009902,0.0009902
53,1774.79,1.16504,0.92912,0.00817,0.64168,0.69663,0.69132,0.54286,0.95435,1.29125,0.00815,0.0009704,0.0009704,0.0009704
54,1807.22,1.17307,0.94908,0.00763,0.76899,0.76404,0.79616,0.6077,0.97862,1.10137,0.00869,0.0009506,0.0009506,0.0009506
55,1842.04,1.14409,0.89966,0.00729,0.7294,0.66292,0.7501,0.57041,0.91822,1.31756,0.0083,0.0009308,0.0009308,0.0009308
56,1873.45,1.15802,0.92819,0.00723,0.77207,0.68539,0.7482,0.56879,0.97639,1.19702,0.00804,0.000911,0.000911,0.000911
57,1906.21,1.1444,0.95834,0.00678,0.81417,0.67416,0.75793,0.57653,0.98192,1.01783,0.00813,0.0008912,0.0008912,0.0008912
58,1939.89,1.15311,0.87397,0.00674,0.76158,0.71782,0.74396,0.56902,0.93112,1.02275,0.00844,0.0008714,0.0008714,0.0008714
59,1972.61,1.14568,0.87264,0.00725,0.83235,0.72523,0.78484,0.60922,0.87233,0.97828,0.00751,0.0008516,0.0008516,0.0008516
60,2004.95,1.09573,0.87543,0.00725,0.7989,0.7191,0.76909,0.59052,0.88035,1.14136,0.00716,0.0008318,0.0008318,0.0008318
61,2037.56,1.0989,0.82629,0.00703,0.71469,0.79775,0.7669,0.59244,0.8997,1.07029,0.00795,0.000812,0.000812,0.000812
